"classe","region","nb_index","regiao_agrupada"
"Cruciform","Promotor",3819,"Promotor"
"Cruciform","Promotor",3820,"Promotor"
"Cruciform","Promotor",3822,"Promotor"
"Cruciform","Promotor",3859,"Promotor"
"Cruciform","Promotor",3862,"Promotor"
"Cruciform","Promotor",3863,"Promotor"
"Cruciform","Promotor",3876,"Promotor"
"Cruciform","Promotor",3877,"Promotor"
"Cruciform","Promotor",3882,"Promotor"
"Cruciform","Promotor",3911,"Promotor"
"Cruciform","Promotor",3927,"Promotor"
"Cruciform","Promotor",3928,"Promotor"
"Cruciform","Promotor",3935,"Promotor"
"Cruciform","Promotor",3941,"Promotor"
"Cruciform","Promotor",3948,"Promotor"
"Cruciform","Promotor",3967,"Promotor"
"Cruciform","Promotor",3968,"Promotor"
"Cruciform","Promotor",3972,"Promotor"
"Cruciform","Promotor",3971,"Promotor"
"Cruciform","Promotor",3973,"Promotor"
"Cruciform","Promotor",3974,"Promotor"
"Cruciform","Promotor",3992,"Promotor"
"Cruciform","Promotor",4034,"Promotor"
"Cruciform","Promotor",4037,"Promotor"
"Cruciform","Promotor",4038,"Promotor"
"Cruciform","Promotor",4045,"Promotor"
"Cruciform","Promotor",4048,"Promotor"
"Cruciform","Promotor",4059,"Promotor"
"Cruciform","Promotor",4062,"Promotor"
"Cruciform","Promotor",4090,"Promotor"
"Cruciform","Promotor",4095,"Promotor"
"Cruciform","Promotor",4095,"Promotor"
"Cruciform","Promotor",4098,"Promotor"
"Cruciform","Promotor",4110,"Promotor"
"Cruciform","Promotor",4111,"Promotor"
"Cruciform","Promotor",4109,"Promotor"
"Cruciform","Promotor",4110,"Promotor"
"Cruciform","Promotor",4120,"Promotor"
"Cruciform","Promotor",4121,"Promotor"
"Cruciform","Promotor",4127,"Promotor"
"Cruciform","Promotor",4131,"Promotor"
"Cruciform","Promotor",4132,"Promotor"
"Cruciform","Promotor",4130,"Promotor"
"Cruciform","Promotor",4131,"Promotor"
