"classe","region","nb_index"
"Cruciform","Promotor",3001
"Cruciform","Promotor",3007
"Cruciform","Promotor",3008
"Cruciform","Promotor",3009
"Cruciform","Promotor",3007
"Cruciform","Promotor",3008
"Cruciform","Promotor",3034
"Cruciform","Promotor",3034
"Cruciform","Promotor",3046
"Cruciform","Promotor",3052
"Cruciform","Promotor",3053
"Cruciform","Promotor",3054
"Cruciform","Promotor",3053
"Cruciform","Promotor",3054
"Cruciform","Promotor",3055
"Cruciform","Promotor",3056
"Cruciform","Promotor",3053
"Cruciform","Promotor",3054
"Cruciform","Promotor",3055
"Cruciform","Promotor",3056
"Cruciform","Promotor",3064
"Cruciform","Promotor",3066
"Cruciform","Promotor",3067
"Cruciform","Promotor",3080
"Cruciform","Promotor",3081
"Cruciform","Promotor",3113
"Cruciform","Promotor",3134
"Cruciform","Promotor",3135
"Cruciform","Promotor",3132
"Cruciform","Promotor",3133
"Cruciform","Promotor",3151
"Cruciform","Promotor",3152
"Cruciform","Promotor",3158
"Cruciform","Promotor",3161
"Cruciform","Promotor",3162
"Cruciform","Promotor",3186
"Cruciform","Promotor",3186
"Cruciform","Promotor",3186
"Cruciform","Promotor",3186
"Cruciform","Promotor",3186
"Cruciform","Promotor",3186
"Cruciform","Promotor",3189
"Cruciform","Promotor",3193
"Cruciform","Promotor",3205
"Cruciform","Promotor",3211
"Cruciform","Promotor",3212
"Cruciform","Promotor",3213
"Cruciform","Promotor",3214
"Cruciform","Promotor",3215
"Cruciform","Promotor",3224
"Cruciform","Promotor",3230
"Cruciform","Promotor",3243
"Cruciform","Promotor",3263
"Cruciform","Promotor",3264
"Cruciform","Promotor",3268
"Cruciform","Promotor",3292
"Cruciform","Promotor",3312
"Cruciform","Promotor",3322
"Cruciform","Promotor",3328
"Cruciform","Promotor",3329
"Cruciform","Promotor",3343
"Cruciform","Promotor",3365
"Cruciform","Promotor",3372
"Cruciform","Promotor",3373
"Cruciform","Promotor",3382
"Cruciform","Promotor",3385
"Cruciform","Promotor",3391
"Cruciform","Promotor",3392
"Cruciform","Promotor",3402
"Cruciform","Promotor",3403
"Cruciform","Promotor",3405
"Cruciform","Promotor",3411
"Cruciform","Promotor",3411
"Cruciform","Promotor",3422
"Cruciform","Promotor",3423
"Cruciform","Promotor",3424
"Cruciform","Promotor",3432
"Cruciform","Promotor",3438
"Cruciform","Promotor",3439
"Cruciform","Promotor",3444
"Cruciform","Promotor",3449
"Cruciform","Promotor",3464
"Cruciform","Promotor",3465
"Cruciform","Promotor",3466
"Cruciform","Promotor",3532
"Cruciform","Promotor",3531
"Cruciform","Promotor",3532
"Cruciform","Promotor",3541
"Cruciform","Promotor",3546
"Cruciform","Promotor",3547
"Cruciform","Promotor",3550
"Cruciform","Promotor",3551
"Cruciform","Promotor",3553
"Cruciform","Promotor",3556
"Cruciform","Promotor",3563
"Cruciform","Promotor",3575
"Cruciform","Promotor",3586
"Cruciform","Promotor",3596
"Cruciform","Promotor",3597
"Cruciform","Promotor",3609
"Cruciform","Promotor",3611
"Cruciform","Promotor",3616
"Cruciform","Promotor",3617
"Cruciform","Promotor",3631
"Cruciform","Promotor",3632
"Cruciform","Promotor",3676
"Cruciform","Promotor",3696
"Cruciform","Promotor",3840
"Cruciform","Promotor",3841
"Cruciform","Promotor",3842
"Cruciform","Promotor",3891
"Cruciform","Promotor",3893
"Cruciform","Promotor",3900
"Cruciform","Promotor",3906
"Cruciform","Promotor",3908
"Cruciform","Promotor",3919
"Cruciform","Promotor",3918
"Cruciform","Promotor",3940
"Cruciform","Promotor",3944
"Cruciform","Promotor",3986
"Cruciform","Promotor",3994
"Cruciform","Promotor",4007
"Cruciform","Promotor",4008
"Cruciform","Promotor",4009
"Cruciform","Promotor",4009
"Cruciform","Promotor",4046
"Cruciform","Promotor",4054
"Cruciform","Promotor",4057
"Cruciform","Promotor",4124
"Cruciform","Promotor",4123
"Cruciform","Promotor",4156
"Cruciform","Promotor",4157
"Cruciform","Promotor",4197
"Cruciform","Promotor",4198
"Cruciform","Promotor",4215
"Cruciform","Promotor",4230
"Cruciform","Promotor",4256
"Cruciform","Promotor",4257
"Cruciform","Promotor",4258
"Cruciform","Promotor",4267
"Cruciform","Promotor",4268
"Cruciform","Promotor",4269
